exp_id,MASE,SoftDTW,TPAloss,SQL,var,em,block,TPA,Neff,maxw
B11-M-079,0.111902324646565,33.2378529523274,1.0,0.2179788338917085,HCPI,EM15,A,0.0,1.0,1.0
B11-M-080,0.133272884965197,55.6930296720922,1.0,0.2204817965216612,HCPI,EM15,A,0.0,1.0,1.0
B11-M-081,0.160712443220912,86.0804319655021,1.0,0.2272056694456007,HCPI,EM15,A,0.0,1.0,1.0
B11-M-082,0.195712274620756,131.158470287504,1.0,0.2359200467975241,HCPI,EM15,A,0.0,1.0,1.0
B11-M-083,0.232864520956299,187.217927623735,1.0,0.2461061083713835,HCPI,EM15,A,0.0,1.0,1.0
B11-M-084,0.269905371587978,250.554656586385,1.0,0.2579316587721209,HCPI,EM15,A,0.0,1.0,1.0
B11-M-085,0.111902324646565,33.2378529523274,1.0,0.2179788338917085,HCPI,EM16,A,0.0,1.0,1.0
B11-M-086,0.133272884965197,55.6930296720922,1.0,0.2204817965216612,HCPI,EM16,A,0.0,1.0,1.0
B11-M-087,0.104394758140601,52.7543143578519,0.0,0.0935511791028022,HCPI,EM16,A,1.0,1.6,0.75
B11-M-088,0.188443457980881,141.029185450069,0.0,0.1367442172949917,HCPI,EM16,A,1.0,1.1172413793103448,0.944444444444444
B11-M-089,0.232864520956299,187.217927623735,1.0,0.2461061083713835,HCPI,EM16,A,0.0,1.0,1.0
B11-M-090,0.133202533635154,37.775270321273,0.0,0.1207692620204412,HCPI,EM16,A,1.0,1.0,1.0
B11-M-091,1.60215580583591,7030.00097536787,0.166666666666667,1.1195541424553912,HCPI,EM17,A,0.833333333333333,1.6,0.75
B11-M-092,0.0400653082723392,-4.69786326526109,0.0,0.0529481541801413,HCPI,EM17,A,1.0,1.1980198019801982,0.909090909090909
B11-M-093,0.12735351860635,15.5467202840321,0.2,0.0913685186709934,HCPI,EM17,A,0.8,1.7999999999999992,0.666666666666667
B11-M-094,0.109765086585907,60.5974664964861,0.25,0.0921768115837309,HCPI,EM17,A,0.75,2.0237154150197627,0.59375
B11-M-095,0.152374625360547,98.3595763003326,0.0,0.1179753467487354,HCPI,EM17,A,1.0,2.1724137931034475,0.523809523809524
B11-M-096,0.149118755838291,71.0739219586559,0.0,0.1485130717002207,HCPI,EM17,A,1.0,2.0,0.5
B11-M-097,0.355927589815123,356.000659216499,0.0,0.3431701680704783,HCPI,EM18,A,1.0,1.0,1.0
B11-M-098,2.2100491894868,13511.0913846372,0.166666666666667,1.5634723034289504,HCPI,EM18,A,0.833333333333333,1.0,1.0
B11-M-099,2.21478748919008,13492.6464834968,0.4,1.5564555073897617,HCPI,EM18,A,0.6,1.0,1.0
B11-M-100,2.22522275336431,13582.0605415841,0.5,1.555598248917046,HCPI,EM18,A,0.5,1.0,1.0
