var,em,origin,MAE,RMSE,WAPE_pct,bias_pct,MAE_yoy,RMSE_yoy,bias_yoy,w80_pct,cov80,w60_pct,cov60,w20_pct,cov20,IS80,IS60,pinball_pct,level
HCPI,EM2,2025-06-01,2.10681,3.07257,1.00181,-0.89909,1.01965,1.48393,-0.91372,11.2538,0.91667,6.92653,0.91667,1.99,0.66667,11.33045,7.20505,0.63047,210.3
HCPI,EM2,2025-07-01,4.71301,6.20938,2.22907,-2.22907,2.28136,2.99263,-2.28136,15.24515,1.0,10.39117,1.0,3.22003,0.5,15.24515,10.39117,1.01624,211.43333
HCPI,EM2,2025-08-01,5.36509,5.94751,2.52247,2.11046,2.61906,2.90599,2.1987,14.29447,1.0,9.32886,0.66667,3.34124,0.33333,14.29447,10.23705,1.12238,212.69167
HCPI,EM2,2025-09-01,5.37781,7.17208,2.51202,-2.51202,2.59438,3.45345,-2.59438,12.37976,1.0,8.13255,0.75,2.4539,0.41667,12.37976,8.62786,0.99793,214.08333
HCPI,EM3,2025-04-01,3.75366,4.14133,1.79995,-1.79995,1.82514,2.01169,-1.82514,9.02474,1.0,6.06706,0.91667,1.79079,0.16667,9.02474,6.08973,0.72554,208.54167
HCPI,EM3,2025-05-01,2.7207,3.2371,1.29954,-1.29954,1.32203,1.57003,-1.32203,10.66889,1.0,6.79812,0.91667,1.76096,0.25,10.66889,6.87449,0.70079,209.35833
HCPI,EM3,2025-06-01,1.84023,2.91626,0.87505,-0.40777,0.89322,1.40963,-0.41081,8.61867,1.0,5.39378,1.0,1.31812,0.5,8.61867,5.39378,0.4989,210.3
HCPI,EM3,2025-07-01,4.98721,6.4646,2.35876,-2.35876,2.41449,3.11663,-2.41449,16.6293,1.0,11.95298,1.0,3.83925,0.25,16.6293,11.95298,1.27068,211.43333
HCPI,EM3,2025-08-01,5.74156,6.41222,2.69948,2.42453,2.80418,3.13459,2.52366,15.62552,1.0,10.34346,0.83333,3.73687,0.33333,15.62552,10.61858,1.13276,212.69167
HCPI,EM3,2025-09-01,3.29337,3.58953,1.53836,0.47712,1.60089,1.7442,0.50823,13.69742,1.0,8.64538,1.0,2.55306,0.33333,13.69742,8.64538,0.7667,214.08333
HCPI,EM4,2025-04-01,5.51273,5.83467,2.64347,-2.64347,2.68194,2.83601,-2.68194,9.03095,1.0,6.24142,0.91667,1.83963,0.25,9.03095,6.36029,0.82362,208.54167
HCPI,EM4,2025-05-01,3.16933,3.97388,1.51383,-1.51383,1.53988,1.92731,-1.53988,11.57806,1.0,8.05159,1.0,2.48418,0.41667,11.57806,8.05159,0.73955,209.35833
HCPI,EM4,2025-06-01,2.13026,3.09973,1.01296,-0.91667,1.03104,1.49707,-0.93171,11.22825,0.91667,6.90716,0.91667,1.98325,0.66667,11.31056,7.18882,0.63107,210.3
HCPI,EM4,2025-07-01,2.8062,4.69907,1.32723,-1.23088,1.35397,2.26059,-1.25357,12.67704,1.0,8.59997,1.0,2.65509,0.75,12.67704,8.59997,0.80148,211.43333
HCPI,EM4,2025-08-01,11.46217,11.8694,5.3891,5.3891,5.58741,5.79102,5.58741,11.8705,0.33333,7.51997,0.16667,3.01155,0.0,24.82826,19.68039,2.1604,212.69167
HCPI,EM4,2025-09-01,4.41608,5.23209,2.06278,1.92211,2.15423,2.55226,2.00931,13.69383,1.0,8.71113,0.75,2.56125,0.33333,13.69383,8.89892,0.9554,214.08333
HCPI,EM5,2025-04-01,5.72508,6.04195,2.74529,-2.74529,2.78552,2.93718,-2.78552,9.19406,1.0,6.26573,0.91667,1.83824,0.16667,9.19406,6.39247,0.84542,208.54167
HCPI,EM5,2025-05-01,2.97411,3.78158,1.42059,-1.42059,1.44457,1.83362,-1.44457,11.26413,1.0,7.83035,1.0,2.41584,0.41667,11.26413,7.83035,0.71409,209.35833
HCPI,EM5,2025-06-01,2.12028,3.08813,1.00821,-0.90918,1.02619,1.49146,-0.92405,11.23913,0.91667,6.91541,0.91667,1.98613,0.66667,11.31903,7.19573,0.63082,210.3
HCPI,EM5,2025-07-01,4.55102,6.06785,2.15246,-2.15246,2.20233,2.92377,-2.20233,16.35373,1.0,11.31324,1.0,3.54058,0.58333,16.35373,11.31324,1.05899,211.43333
HCPI,EM5,2025-08-01,6.48856,7.24145,3.05069,2.88367,3.17078,3.54303,3.00033,15.95054,0.91667,10.11003,0.66667,3.49561,0.33333,16.49742,11.7753,1.29414,212.69167
HCPI,EM5,2025-09-01,5.471,7.15164,2.55555,-2.55555,2.64034,3.44434,-2.64034,12.52186,1.0,8.22695,0.75,2.48481,0.33333,12.52186,8.62691,1.00519,214.08333
HCPI,EM6,2025-04-01,5.7378,6.03762,2.75139,-2.75139,2.79158,2.93492,-2.79158,8.94335,1.0,6.13172,0.91667,1.8001,0.16667,8.94335,6.30196,0.84211,208.54167
HCPI,EM6,2025-05-01,3.16933,3.97388,1.51383,-1.51383,1.53988,1.92731,-1.53988,11.57806,1.0,8.05159,1.0,2.48418,0.41667,11.57806,8.05159,0.73955,209.35833
HCPI,EM6,2025-06-01,2.13026,3.09973,1.01296,-0.91667,1.03104,1.49707,-0.93171,11.22825,0.91667,6.90716,0.91667,1.98325,0.66667,11.31056,7.18882,0.63107,210.3
HCPI,EM6,2025-07-01,5.77966,6.99255,2.73356,-2.73356,2.80146,3.37469,-2.80146,15.35646,1.0,10.62972,1.0,3.33373,0.25,15.35646,10.62972,1.10522,211.43333
HCPI,EM6,2025-08-01,5.36343,5.93362,2.52169,2.07608,2.61834,2.89966,2.16371,14.16956,0.91667,9.18719,0.66667,3.28298,0.33333,14.17291,10.17137,1.11191,212.69167
HCPI,EM6,2025-09-01,5.23467,7.01016,2.44515,-2.44185,2.52518,3.37578,-2.52169,11.91647,1.0,7.82941,0.75,2.36524,0.33333,11.91647,8.35559,0.97084,214.08333
HCPI,EM7,2025-04-01,3.75366,4.14133,1.79995,-1.79995,1.82514,2.01169,-1.82514,9.02474,1.0,6.06706,0.91667,1.79079,0.16667,9.02474,6.08973,0.72554,208.54167
HCPI,EM7,2025-05-01,2.7207,3.2371,1.29954,-1.29954,1.32203,1.57003,-1.32203,10.66889,1.0,6.79812,0.91667,1.76096,0.25,10.66889,6.87449,0.70079,209.35833
HCPI,EM7,2025-06-01,1.84071,2.91017,0.87528,-0.3973,0.89351,1.40675,-0.40007,8.56963,1.0,5.3802,1.0,1.31341,0.5,8.56963,5.3802,0.4978,210.3
HCPI,EM7,2025-07-01,5.13152,6.60336,2.42702,-2.42702,2.48449,3.18378,-2.48449,16.09473,1.0,11.62332,1.0,3.74556,0.25,16.09473,11.62332,1.26491,211.43333
HCPI,EM7,2025-08-01,5.69479,6.35272,2.67749,2.38538,2.78125,3.1055,2.48322,15.70902,1.0,10.38808,0.83333,3.73623,0.33333,15.70902,10.6342,1.12875,212.69167
HCPI,EM7,2025-09-01,3.3239,3.62985,1.55262,-0.0301,1.61206,1.7567,-0.01828,13.25752,1.0,8.36607,1.0,2.46935,0.33333,13.25752,8.36607,0.73992,214.08333
HCPI,EM8,2025-04-01,5.7378,6.03762,2.75139,-2.75139,2.79158,2.93492,-2.79158,8.94335,1.0,6.13172,0.91667,1.8001,0.16667,8.94335,6.30196,0.84211,208.54167
HCPI,EM8,2025-05-01,3.17674,3.97812,1.51737,-1.51737,1.54349,1.92938,-1.54349,11.63854,1.0,8.10198,1.0,2.50079,0.41667,11.63854,8.10198,0.74308,209.35833
